,Age,Gender,Level of Education,University,Entrepreneurial Inclination,EI1,EI2,EI3,EI4,EI5,EE1,EE2,EE3,EE4,EE5,EM1,EM2,EM3,EM4,EM5,GSP1,GSP2,GSP3,PCS1,PCS2,PCS3,PCS4,PCS5,Fin1,Fin2,Fin3,Fin4,Fin5,FoF1,FoF2,Target
95,2.0,1.0,2,2.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,2.0,4.0,5.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,3
96,1.0,1.0,1,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
97,1.0,1.0,1,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
98,1.0,1.0,1,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
99,1.0,1.0,1,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,4.0,3.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0,4
100,1.0,1.0,1,2.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,4.0,3.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,7.0,7.0,4
101,2.0,1.0,1,2.0,1.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,5.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5
102,1.0,2.0,1,2.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,4.0,3.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,2.0,2
103,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,3.0,5.0,1.0,5.0,1.0,2.0,6.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,2.0,7.0,4.0,4
104,2.0,2.0,2,1.0,1.0,6.0,7.0,7.0,7.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,7.0,6.0,6.0,7.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4
105,2.0,1.0,2,1.0,2.0,3.0,4.0,4.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,4
106,2.0,1.0,2,2.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,4
107,2.0,2.0,1,2.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,7.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,6
108,1.0,1.0,1,2.0,1.0,5.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,4.0,6.0,5.0,4.0,1.0,4.0,2
109,1.0,2.0,1,1.0,2.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,7.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,6.0,3.0,4
110,3.0,1.0,2,1.0,1.0,6.0,6.0,7.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,5
111,1.0,1.0,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5
112,2.0,2.0,2,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,6.0,7.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5
113,3.0,2.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,1.0,1
114,2.0,2.0,2,2.0,1.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,2
115,1.0,2.0,1,2.0,2.0,4.0,5.0,6.0,4.0,5.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,3.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5
