Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
18.0,15.0,13.0,11.0,12.5,13.0,20.0,19.0,10.0,12.0,Cukup,Baik,Baik,19.33578798141293,14.67895800259778,18.804038004750595,B+,B,A,A,B,B+,80.83,3.45
12.0,10.0,12.0,11.0,11.0,8.0,14.0,18.0,2.0,5.0,Cukup,Baik,Baik,,,,B+,B+,A-,B+,A-,A,81.66250000000001,3.43
12.0,14.0,11.0,12.0,11.5,11.0,20.0,15.0,11.0,5.0,Kurang,Baik,Cukup,,,,B+,A-,A,B+,A-,B+,81.66250000000001,3.12
7.0,18.0,8.0,10.0,10.5,10.5,20.0,15.0,6.0,12.0,Kurang,Cukup,Cukup,,,,B+,A,A-,B,A-,A,83.33,3.11
17.0,9.0,10.0,9.0,12.0,13.5,19.0,15.0,9.0,14.0,Kurang,Baik,Cukup,18.39068283846578,14.967599942271614,18.566508313539195,B+,B+,A-,A,A,A,85.83083333333333,3.26
18.0,19.0,11.0,12.0,13.5,11.5,20.0,17.0,6.0,12.0,Tinggi,Tinggi,Tinggi,,10.060686967816425,15.953681710213777,A-,B+,A-,A,A,A-,84.99666666666667,3.36
11.0,18.0,11.0,10.0,10.0,11.5,20.0,15.0,1.0,8.0,Cukup,Baik,Cukup,,,,B,B,A-,A-,B+,B+,77.495,3.41
18.0,17.0,12.0,13.0,12.0,12.0,20.0,16.0,10.0,1.0,Baik,Tinggi,Tinggi,,10.637970847164095,19.9916864608076,B,A-,B,A-,B,B,75.82833333333333,3.2
9.0,18.0,12.0,12.0,10.0,12.5,20.0,15.0,11.0,18.0,Baik,Baik,Tinggi,,,,B+,B,A-,B+,B+,A-,78.32833333333333,3.25
18.0,9.0,14.0,12.0,11.5,11.5,20.0,15.0,1.0,15.0,Tinggi,Tinggi,Baik,14.925297314326217,12.081180545533268,18.804038004750595,B,B+,A-,A-,A-,A-,79.995,3.58
18.0,14.0,10.0,12.0,13.0,11.5,18.0,14.0,5.0,10.0,Baik,Baik,Baik,,,,A-,B+,A,A-,B+,B+,81.66250000000001,3.46
17.0,9.0,11.0,11.0,11.0,10.0,20.0,15.0,2.0,15.0,Baik,Cukup,Cukup,,,,A,B,A-,A-,A,A-,84.16333333333334,3.44
