Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
,,16.0,11.0,11.5,10.0,20.0,5.0,11.0,20.0,,,,6.0,5.0,6.6900237529691235,A-,A-,A-,B+,B,B+,79.16166666666668,3.19
13.0,7.0,14.0,10.0,9.0,11.0,20.0,5.0,10.0,16.0,,,,10.514806647239503,7.0,8.352731591448933,A,B+,B+,B,A-,B,79.16250000000001,3.37
,,10.0,9.0,12.5,10.0,20.0,8.0,7.0,20.0,,,,10.199771599590452,8.906119209121087,10.490498812351545,B,B+,A-,B+,B,B+,76.66166666666668,3.08
12.0,15.0,12.0,11.0,10.0,10.0,20.0,7.0,14.0,11.0,Cukup,Baik,Baik,10.199771599590452,6.59698369173041,9.065320665083137,B+,A-,B+,B+,B,B+,77.495,3.17
14.0,13.0,14.0,11.0,11.5,13.0,20.0,3.0,12.0,20.0,,,,7.994526266047096,7.0,8.827790973871736,A,A-,A-,A-,A-,B+,83.32916666666667,3.23
,,12.0,12.0,10.0,13.5,18.0,3.0,11.0,20.0,,,,,,,B,A-,B+,B,B,A,78.32916666666667,3.14
9.0,14.0,15.0,13.0,13.0,13.5,17.0,7.0,13.0,9.0,,,,9.56970150429235,7.0,8.827790973871736,A,A-,B+,B+,B+,A-,81.66250000000001,3.3
16.0,18.0,11.0,12.0,13.0,11.5,20.0,8.0,10.0,20.0,,,,9.884736551941401,7.0,8.352731591448933,A,B+,A,B,B,B+,80.83,3.67
18.0,18.0,12.0,13.0,11.5,10.0,11.0,,13.0,13.0,Baik,Cukup,Cukup,6.0,5.0,8.352731591448933,A-,B+,A-,A-,B+,A-,80.82833333333333,3.81
6.0,9.0,10.0,7.0,8.0,9.5,17.0,3.0,10.0,17.0,,,,11.144876742537605,10.060686967816425,10.015439429928742,B+,B+,B,B,A-,A-,77.495,2.81
10.0,15.0,12.0,11.0,10.0,12.0,17.0,7.0,17.0,14.0,,,,8.624596361345198,8.617477269447253,8.352731591448933,A-,B+,B+,B,A,A,82.49666666666667,2.86
17.0,18.0,12.0,13.0,13.0,11.0,9.0,3.0,8.0,20.0,Baik,Baik,Baik,6.7343860754508915,7.0,8.590261282660334,B+,B,B+,A-,B,B+,76.66166666666668,3.51
,,10.0,12.0,10.0,10.0,16.0,3.0,9.0,18.0,,,,8.0,6.0,8.115201900237532,B,B,B,A-,B,B+,74.995,2.96
11.0,18.0,14.0,10.0,13.5,13.5,14.0,5.0,10.0,19.0,Rendah,Baik,Cukup,7.994526266047096,9.194761148794921,8.115201900237532,B,B+,A-,B,B+,B,75.82833333333333,3.15
17.0,,12.0,12.0,15.5,13.0,19.0,5.0,10.0,17.0,,,,11.459911790186656,8.040193390099583,9.54038004750594,B,B+,B+,B+,B,A-,76.66166666666668,3.06
14.0,18.0,10.0,11.0,10.0,10.5,19.0,9.0,5.0,20.0,Cukup,Cukup,Cukup,8.0,6.0,11.915676959619955,B+,A,B+,B+,B+,A-,80.82916666666667,3.12
13.0,17.0,12.0,11.0,10.5,11.0,20.0,3.0,11.0,20.0,Kurang,Cukup,Cukup,5.0,7.0,7.4026128266033275,B,A,A,A-,A,A-,85.83083333333333,3.61
17.0,15.0,12.0,9.0,9.5,8.5,15.0,5.0,12.0,19.0,Cukup,Kurang,Cukup,6.0,7.174267571078079,7.640142517814729,B+,B+,A,B+,B,B+,79.16250000000001,3.37
14.0,18.0,10.0,9.0,9.5,12.5,20.0,3.0,10.0,20.0,,,,10.514806647239503,6.0,9.77790973871734,B,A,B,B,A,A-,80.83,3.06
12.0,18.0,15.0,11.0,11.0,12.5,11.0,7.0,11.0,10.0,,,,9.2546664566433,7.0,8.352731591448933,A-,A-,B+,B,A-,A-,79.995,3.11
17.0,18.0,11.0,12.0,10.0,9.0,12.0,5.0,10.0,20.0,,,,9.56970150429235,8.617477269447253,9.065320665083137,B,A-,B+,A-,B,A,79.99583333333334,3.25
,,12.0,13.0,14.5,9.0,14.0,8.0,8.0,16.0,,,,9.2546664566433,7.0,7.640142517814729,A,A-,B+,B+,A,A,85.83083333333333,3.34
,,15.0,12.0,11.5,13.0,10.0,5.0,16.0,10.0,,,,7.994526266047096,6.0,5.97743467933492,B+,A,B,B,B,B+,77.49583333333334,2.98
14.0,15.0,13.0,11.0,13.5,10.0,19.0,8.0,3.0,19.0,,,,8.0,7.0,9.065320665083137,A-,A-,A,A-,A-,B+,83.32916666666667,3.36
,,13.0,11.0,12.5,15.0,11.0,5.0,15.0,13.0,Kurang,Baik,Baik,7.679491218398044,6.0,8.115201900237532,B+,B+,A-,B,B+,B+,77.495,2.76
13.0,15.0,11.0,12.0,12.0,13.5,12.0,1.0,15.0,10.0,Cukup,Cukup,Cukup,7.0,6.0,6.927553444180525,A-,A-,B+,B+,B,A-,79.16166666666668,3.76
13.0,12.0,13.0,10.0,9.0,12.5,15.0,7.0,11.0,10.0,,,,11.774946837835707,7.0,9.77790973871734,A-,B+,B,B+,B,B,75.82833333333333,3.14
9.0,15.0,14.0,11.0,9.5,9.5,12.0,8.0,16.0,9.0,Baik,Baik,Tinggi,7.994526266047096,6.0,7.87767220902613,A-,A-,A-,B+,B,B+,79.16166666666668,3.6
11.0,14.0,12.0,8.0,9.0,10.5,14.0,3.0,12.0,13.0,Baik,Baik,Baik,10.829841694888554,8.328835329773417,10.96555819477435,A-,A-,B,B+,B+,B+,78.32833333333333,3.55
14.0,13.0,10.0,10.0,10.5,9.0,11.0,1.0,14.0,10.0,Baik,Baik,Tinggi,7.994526266047096,7.0,7.640142517814729,A-,A-,B,B+,B+,B+,78.32833333333333,3.44
12.0,15.0,12.0,7.0,11.5,11.0,17.0,3.0,12.0,14.0,Rendah,Cukup,Cukup,7.994526266047096,8.328835329773417,8.827790973871736,B,B+,B+,B,B,B,74.16166666666668,3.13
,,14.0,12.0,10.5,10.0,20.0,1.0,12.0,8.0,,,,8.939631408994249,7.0,8.590261282660334,B+,A,B+,A,A-,,84.497,3.77
13.0,,12.0,10.0,11.5,12.0,13.0,5.0,15.0,18.0,Kurang,Baik,Baik,8.624596361345198,7.0,8.590261282660334,A,A-,B+,A-,B+,,82.49600000000001,3.58
,,15.0,10.0,12.0,12.0,19.0,9.0,13.0,17.0,,,,9.56970150429235,7.0,10.015439429928742,B,A-,A-,B,B+,B,76.66166666666668,2.95
15.0,16.0,14.0,11.0,14.0,13.5,16.0,10.0,14.0,5.0,Baik,Kurang,Cukup,7.679491218398044,7.174267571078079,9.302850356294538,A-,B+,A-,B+,A-,B,79.16166666666668,3.39
,,14.0,12.0,11.5,13.5,17.0,3.0,13.0,17.0,,,,10.829841694888554,7.751551450425748,9.065320665083137,B+,B+,B,B,B,A-,75.82833333333333,3.08
,,14.0,13.0,9.5,14.0,17.0,5.0,10.0,18.0,,,,8.939631408994249,7.0,9.302850356294538,B,B+,B+,B,B,B,74.16166666666668,3.0
15.0,,15.0,13.0,12.0,13.5,17.0,5.0,15.0,19.0,,,,6.0,7.0,7.165083135391926,A-,B+,B+,A-,A-,B+,79.995,3.24
16.0,15.0,14.0,11.0,9.0,12.0,11.0,1.0,16.0,11.0,Cukup,Cukup,Baik,7.994526266047096,5.0,8.590261282660334,A-,A-,B+,B+,B+,B+,79.16166666666668,3.54
9.0,18.0,14.0,11.0,11.0,12.5,20.0,8.0,13.0,18.0,,,,9.884736551941401,7.174267571078079,7.87767220902613,B,B+,B,B,B,B+,74.16166666666668,2.88
11.0,11.0,14.0,13.0,9.5,14.5,12.0,5.0,15.0,5.0,,,,8.0,6.59698369173041,9.065320665083137,A,B+,A,B+,B+,A-,83.33,3.67
16.0,15.0,12.0,12.0,11.0,14.0,18.0,,15.0,12.0,Baik,Baik,Cukup,9.0,7.0,10.252969121140143,A-,B+,A-,B+,A-,A-,80.82833333333333,3.2
12.0,18.0,10.0,12.0,11.0,12.0,12.0,5.0,16.0,3.0,Baik,Baik,Baik,7.0,7.0,7.640142517814729,B,B+,A-,B,B,A-,76.66166666666668,2.97
15.0,13.0,12.0,10.0,8.5,12.0,15.0,5.0,15.0,9.0,Kurang,Cukup,Cukup,8.0,8.328835329773417,8.352731591448933,A-,A-,A-,A-,B,A-,80.82833333333333,3.7
18.0,17.0,14.0,11.0,10.5,12.5,18.0,5.0,14.0,14.0,Baik,Kurang,Cukup,6.0,7.0,9.302850356294538,B,B+,B-,B,B,B,72.495,2.8
,,11.0,12.0,14.5,12.0,13.0,5.0,14.0,17.0,,,,8.0,6.0,7.640142517814729,A,B+,B+,A-,B+,A,83.33,3.22
5.0,18.0,11.0,11.0,9.5,10.0,17.0,5.0,14.0,17.0,Rendah,Baik,Kurang,11.144876742537605,7.174267571078079,12.153206650831354,B,A-,B+,B,B,B,74.995,3.35
,,12.0,10.0,9.0,11.0,17.0,3.0,16.0,9.0,Baik,Tinggi,Baik,8.0,7.0,7.4026128266033275,A,B+,B+,A-,B,A-,80.82916666666667,3.03
11.0,19.0,13.0,12.0,10.5,14.0,13.0,3.0,15.0,1.0,Baik,Baik,Cukup,7.679491218398044,7.0,8.827790973871736,B+,B,B,B+,B,A,77.49583333333334,3.14
18.0,18.0,12.0,11.0,12.0,13.0,10.0,,13.0,18.0,Rendah,Kurang,Kurang,8.0,7.0,8.115201900237532,A-,A-,B+,A-,B+,B+,79.995,3.38
13.0,18.0,13.0,11.0,10.0,12.0,14.0,1.0,14.0,13.0,Baik,Cukup,Baik,7.0,7.0,7.87767220902613,B+,B+,A,A-,B+,A-,81.66250000000001,3.11
15.0,13.0,13.0,13.0,11.5,13.0,11.0,3.0,10.0,9.0,Rendah,Kurang,Kurang,8.0,8.040193390099583,8.115201900237532,B+,B+,B+,B,A-,B+,77.495,3.34
14.0,15.0,14.0,12.0,12.0,11.5,13.0,1.0,12.0,14.0,Tinggi,Tinggi,Tinggi,10.199771599590452,7.0,9.065320665083137,A,A,A,A,B+,A-,88.33166666666666,3.54
14.0,12.0,12.0,9.0,9.0,10.5,16.0,,17.0,10.0,Baik,Cukup,Tinggi,9.2546664566433,7.0,9.065320665083137,A,A-,A-,A,A-,B+,84.99666666666667,3.46
13.0,19.0,14.0,14.0,14.5,14.0,19.0,1.0,14.0,11.0,,,,8.0,7.0,9.065320665083137,B+,C+,A-,B,A-,A-,76.66166666666668,3.11
13.0,17.0,14.0,12.0,12.0,13.0,12.0,8.0,14.0,7.0,Baik,Cukup,Baik,11.459911790186656,6.8856256314042446,9.54038004750594,A,A-,B+,A-,B+,B+,81.66250000000001,3.32
13.0,12.0,11.0,12.0,8.5,11.5,20.0,5.0,13.0,9.0,Baik,Baik,Tinggi,9.2546664566433,7.4629095107519134,10.252969121140143,B+,B+,B+,B+,B+,A-,78.32833333333333,2.95
10.0,16.0,14.0,9.0,9.5,10.5,13.0,,14.0,9.0,,,,8.939631408994249,7.174267571078079,8.590261282660334,A,B+,B+,A-,B+,B,79.99583333333334,3.42
14.0,16.0,10.0,12.0,13.0,10.5,12.0,5.0,15.0,8.0,,,,9.2546664566433,7.174267571078079,8.115201900237532,B+,B+,A,A-,A-,A-,82.49583333333334,3.4
12.0,13.0,12.0,11.0,15.0,12.0,10.0,3.0,13.0,13.0,Baik,Baik,Tinggi,9.0,7.0,8.115201900237532,A,A,A,A,A,A-,90.8325,3.47
14.0,17.0,14.0,11.0,14.0,13.0,18.0,8.0,13.0,13.0,Kurang,Baik,Kurang,6.0,6.8856256314042446,7.640142517814729,A,B,B+,A-,B,B,78.32916666666667,3.69
13.0,20.0,13.0,13.0,12.0,14.5,12.0,,16.0,15.0,,,,8.0,6.0,7.87767220902613,B+,B,B+,B,B,B+,74.995,3.37
11.0,18.0,12.0,11.0,9.0,11.0,11.0,5.0,15.0,11.0,,,,10.829841694888554,6.8856256314042446,7.4026128266033275,B+,B+,A-,A,A-,B+,81.66250000000001,3.5
10.0,18.0,12.0,11.0,10.5,12.0,13.0,5.0,16.0,8.0,,,,8.939631408994249,6.0,7.87767220902613,A,B+,B+,B,A-,A-,80.82916666666667,3.33
14.0,14.0,12.0,11.0,12.0,11.0,17.0,5.0,14.0,10.0,Cukup,Cukup,Baik,8.939631408994249,6.59698369173041,8.352731591448933,A-,A-,A-,B+,B+,A-,80.82833333333333,3.33
11.0,14.0,8.0,9.0,9.0,11.5,18.0,3.0,12.0,10.0,,,,13.035087028431912,8.906119209121087,8.827790973871736,A,B+,B+,B,B,B,77.49583333333334,3.16
15.0,18.0,14.0,11.0,12.0,14.5,14.0,7.0,13.0,5.0,Cukup,Kurang,Cukup,5.0,7.751551450425748,9.065320665083137,A-,B+,B+,B+,A-,A,81.66250000000001,3.51
17.0,18.0,14.0,13.0,14.0,12.0,3.0,,15.0,9.0,Baik,Tinggi,Cukup,6.0,5.0,4.55225653206651,A-,B+,A-,A-,B,B+,79.16166666666668,3.53
13.0,18.0,13.0,13.0,10.5,13.0,17.0,5.0,12.0,9.0,,,,10.829841694888554,7.751551450425748,8.352731591448933,A-,B,B,B+,A-,B+,77.495,3.17
17.0,15.0,11.0,11.0,11.0,11.5,8.0,1.0,11.0,11.0,Kurang,Kurang,Kurang,6.0,6.59698369173041,7.640142517814729,A,B+,B,B,B,A-,78.32916666666667,3.15
14.0,18.0,13.0,11.0,11.5,12.0,14.0,7.0,13.0,20.0,,,,10.514806647239503,7.751551450425748,10.728028503562946,A-,B+,A-,B+,A-,A-,80.82833333333333,3.04
12.0,17.0,13.0,13.0,10.5,9.5,10.0,7.0,17.0,8.0,Cukup,Cukup,Cukup,6.0,6.8856256314042446,5.97743467933492,A,A-,A,A-,B+,A,86.66416666666667,3.77
13.0,15.0,12.0,10.0,8.0,11.5,17.0,5.0,17.0,10.0,Baik,Baik,Baik,7.0,6.0,9.77790973871734,A,B+,A-,A-,A-,A-,83.32916666666667,3.4
18.0,8.0,14.0,12.0,9.0,9.0,20.0,1.0,15.0,18.0,Tinggi,Tinggi,Tinggi,10.829841694888554,7.0,9.302850356294538,B+,B+,B,A-,A,A,82.49666666666667,3.06
13.0,19.0,14.0,12.0,9.0,11.5,14.0,1.0,11.0,13.0,,,,8.624596361345198,7.174267571078079,8.827790973871736,B+,B+,B+,A-,B,B+,77.495,3.11
15.0,17.0,12.0,11.0,8.5,10.5,19.0,10.0,16.0,14.0,Kurang,Baik,Cukup,6.7343860754508915,6.59698369173041,6.452494061757722,A,B+,A,A,A,A,89.99916666666667,3.31
,,13.0,10.0,11.0,10.5,18.0,3.0,11.0,17.0,Cukup,Baik,Cukup,9.56970150429235,6.59698369173041,10.490498812351545,A,B+,A-,A,A-,A-,84.99666666666667,3.44
14.0,18.0,12.0,14.0,10.5,12.0,9.0,5.0,15.0,1.0,Baik,Baik,Baik,8.0,7.0,9.302850356294538,A,A-,B,B,B+,A-,79.99583333333334,3.25
18.0,18.0,15.0,12.0,13.5,14.0,10.0,1.0,15.0,8.0,Cukup,Baik,Baik,6.0,6.0,7.4026128266033275,A-,B+,B+,B+,A-,A,81.66250000000001,3.56
,,11.0,11.0,10.0,10.5,15.0,7.0,15.0,9.0,,,,10.829841694888554,7.0,8.115201900237532,B+,B+,B+,B+,A-,A-,79.16166666666668,3.4
11.0,18.0,11.0,11.0,10.5,9.5,17.0,9.0,14.0,9.0,,,,10.829841694888554,6.0,8.827790973871736,B,B+,B-,A-,A,A-,79.16250000000001,2.98
17.0,18.0,13.0,14.0,10.5,12.5,15.0,5.0,13.0,10.0,Baik,Baik,Kurang,8.0,5.0,10.490498812351545,B,B+,A-,B,B,B,74.995,3.28
15.0,18.0,14.0,11.0,9.5,14.5,17.0,1.0,13.0,12.0,,,,11.144876742537605,6.59698369173041,9.54038004750594,A,B+,B+,B+,B+,B,79.16250000000001,3.34
8.0,9.0,14.0,8.0,8.5,8.5,14.0,7.0,9.0,12.0,,,,8.939631408994249,6.0,9.54038004750594,A-,B,B,B+,B,A,78.32916666666667,2.96
17.0,18.0,17.0,14.0,14.5,13.0,11.0,3.0,14.0,9.0,Baik,Baik,Baik,7.0,7.0,7.87767220902613,A,B+,A,A-,B+,B,82.49666666666667,3.5
11.0,18.0,14.0,12.0,11.0,10.5,20.0,3.0,11.0,12.0,Cukup,Cukup,Cukup,8.624596361345198,9.483403088468755,8.827790973871736,B,B+,A-,A-,A-,A-,79.995,3.54
,,14.0,12.0,12.0,13.5,16.0,5.0,15.0,11.0,Cukup,Baik,Cukup,5.0,6.0,5.502375296912115,A,B+,B+,A,A-,A-,84.16333333333334,3.24
,,14.0,12.0,11.5,10.5,18.0,5.0,17.0,20.0,,,,8.624596361345198,6.59698369173041,7.165083135391926,B+,B+,A-,B,B+,B+,77.495,3.27
18.0,17.0,11.0,12.0,10.0,10.0,16.0,3.0,15.0,10.0,Baik,Baik,Baik,7.994526266047096,6.59698369173041,8.590261282660334,A,B+,A-,A,A-,A,86.66416666666667,3.47
,,14.0,13.0,15.5,13.0,15.0,5.0,14.0,15.0,Baik,Tinggi,Tinggi,9.2546664566433,6.8856256314042446,9.77790973871734,A,B+,B+,B+,B,B,78.32916666666667,3.39
,,14.0,12.0,10.5,10.0,18.0,7.0,8.0,9.0,,,,8.0,6.8856256314042446,8.115201900237532,A-,B,A-,A-,A-,A-,80.82833333333333,3.21
16.0,16.0,13.0,10.0,11.5,11.5,19.0,7.0,13.0,17.0,,,,9.56970150429235,7.751551450425748,8.590261282660334,A,B+,B+,A,A,A-,85.83083333333333,3.47
14.0,19.0,12.0,13.0,11.5,12.0,10.0,5.0,9.0,9.0,,,,7.679491218398044,7.0,8.352731591448933,B+,A-,A-,B,B+,A-,79.16166666666668,2.94
,,13.0,10.0,8.5,12.0,17.0,8.0,15.0,11.0,,,,6.0,7.0,8.590261282660334,A,B+,B,A-,A-,A-,81.66250000000001,3.55
8.0,18.0,12.0,9.0,9.0,9.5,15.0,5.0,9.0,12.0,,,,9.884736551941401,8.328835329773417,9.54038004750594,A-,B+,B+,B+,A,A-,81.66250000000001,3.34
5.0,5.0,8.0,8.0,8.0,11.0,17.0,10.0,14.0,15.0,Cukup,Kurang,Kurang,7.679491218398044,8.040193390099583,8.115201900237532,A-,B+,A-,A-,A-,A-,81.66166666666668,3.14
17.0,,16.0,11.0,11.0,12.0,20.0,8.0,16.0,20.0,Baik,Tinggi,Cukup,8.939631408994249,7.0,8.590261282660334,A,A-,A,A,A,A-,89.165,3.81
16.0,16.0,14.0,11.0,11.5,12.0,19.0,8.0,10.0,13.0,Cukup,Kurang,Kurang,6.0,8.040193390099583,9.065320665083137,A,A-,B+,B+,B,A,82.49666666666667,3.4
8.0,15.0,13.0,12.0,13.5,10.0,20.0,8.0,8.0,20.0,Tinggi,Baik,Tinggi,8.939631408994249,7.0,8.827790973871736,A-,A-,B+,A-,B,A-,79.995,3.56
18.0,17.0,14.0,11.0,13.0,10.5,12.0,7.0,10.0,11.0,Baik,Baik,Baik,7.679491218398044,6.8856256314042446,9.54038004750594,A-,A,B+,B+,A-,B+,81.66250000000001,3.55
11.0,17.0,12.0,11.0,13.0,10.5,20.0,7.0,8.0,16.0,Baik,Baik,Cukup,6.0,6.0,6.214964370546321,A,B+,B+,B+,A-,A-,81.66250000000001,3.66
12.0,17.0,14.0,12.0,10.5,12.0,9.0,7.0,15.0,5.0,,,,7.0,6.0,8.827790973871736,B+,B+,B,B+,A-,A,79.99583333333334,3.55
13.0,17.0,13.0,13.0,10.5,10.5,12.0,3.0,15.0,12.0,Rendah,Cukup,Cukup,8.624596361345198,7.4629095107519134,8.590261282660334,A,B+,B+,A,A-,B+,83.33,3.63
14.0,14.0,14.0,15.0,12.5,10.5,7.0,7.0,5.0,9.0,Baik,Tinggi,Baik,5.0,6.0,7.4026128266033275,A-,B+,B+,A-,B+,A-,79.995,3.74
16.0,12.0,12.0,10.0,12.0,10.0,20.0,8.0,10.0,18.0,,,,9.56970150429235,7.174267571078079,8.827790973871736,B+,A-,B+,B,A-,B,77.495,3.14
15.0,,13.0,10.0,8.5,10.5,16.0,8.0,13.0,7.0,,,,8.939631408994249,6.8856256314042446,9.065320665083137,B+,B+,B,A-,B+,B,76.66166666666668,3.11
14.0,18.0,11.0,10.0,12.0,9.5,13.0,8.0,11.0,13.0,Cukup,Baik,Baik,6.0,6.0,6.6900237529691235,A,A-,A-,A-,A,A-,85.83,3.6
16.0,17.0,15.0,14.0,13.0,12.0,10.0,3.0,11.0,10.0,,,,6.0,5.0,7.640142517814729,A-,A-,B,B+,A-,A,81.66250000000001,3.39
16.0,12.0,13.0,8.0,10.5,9.5,17.0,8.0,5.0,18.0,Baik,Baik,Tinggi,5.0,8.040193390099583,8.590261282660334,A,B+,B,B+,B+,B+,79.16250000000001,3.37
15.0,,12.0,13.0,12.0,10.0,20.0,9.0,12.0,1.0,,,,7.679491218398044,7.0,9.302850356294538,B,A,B,B+,A-,A-,79.99583333333334,3.49
16.0,15.0,12.0,10.0,11.5,10.5,15.0,3.0,10.0,19.0,Baik,Baik,Kurang,9.0,7.0,7.640142517814729,B+,B-,B,A,A-,B+,78.32916666666667,2.96
15.0,14.0,10.0,11.0,11.5,11.5,17.0,3.0,10.0,19.0,Cukup,Baik,,8.624596361345198,6.8856256314042446,6.927553444180525,A-,A-,B+,A-,B,B+,79.16166666666668,3.36
18.0,16.0,14.0,13.0,11.0,10.5,19.0,5.0,15.0,8.0,Kurang,Kurang,Cukup,10.829841694888554,7.174267571078079,9.302850356294538,A,A-,A-,B+,B,B+,80.82916666666667,3.39
17.0,17.0,14.0,11.0,13.5,9.5,17.0,1.0,10.0,15.0,Cukup,Baik,Cukup,7.679491218398044,7.0,8.590261282660334,B+,A,A-,A,B+,A,85.83083333333333,3.48
18.0,17.0,16.0,14.0,14.0,14.0,20.0,5.0,12.0,20.0,Baik,Cukup,,8.0,7.0,7.87767220902613,A,A-,A,A-,A,A,89.165,3.69
18.0,7.0,10.0,12.0,10.5,9.0,17.0,7.0,10.0,20.0,Cukup,Baik,,10.514806647239503,7.0,8.827790973871736,A-,B,B,B,B+,B+,75.82833333333333,2.98
16.0,18.0,13.0,12.0,13.5,12.0,19.0,1.0,10.0,13.0,Rendah,Baik,,10.829841694888554,8.040193390099583,10.252969121140143,A,A,A-,B+,A,A,88.33166666666666,3.7
13.0,9.0,14.0,12.0,9.5,8.5,20.0,3.0,12.0,20.0,Cukup,Kurang,,7.994526266047096,7.0,9.065320665083137,A,B+,A,B+,A-,A,85.83083333333333,3.29
14.0,10.0,14.0,12.0,11.0,10.0,14.0,3.0,7.0,9.0,Cukup,Cukup,Cukup,13.350122076080963,6.0,9.54038004750594,A-,A-,A-,B+,B+,B+,79.995,3.28
14.0,11.0,12.0,11.0,11.5,13.5,14.0,,8.0,18.0,Baik,Baik,,10.199771599590452,7.0,7.640142517814729,B+,A,B,A,A,A,86.665,3.37
18.0,14.0,15.0,16.0,13.5,9.0,14.0,5.0,12.0,18.0,Baik,Cukup,Baik,8.624596361345198,7.0,9.065320665083137,B+,A-,B,A,B,B,78.32916666666667,3.12
18.0,15.0,15.0,13.0,13.5,13.5,17.0,3.0,10.0,12.0,,,,10.514806647239503,6.8856256314042446,8.827790973871736,A,A,A,A,A,B+,89.99916666666667,3.66
17.0,14.0,14.0,14.0,12.0,9.5,14.0,3.0,12.0,3.0,Tinggi,Baik,Baik,7.0,7.0,8.827790973871736,A,A,A-,A,A,A,90.8325,3.81
16.0,15.0,13.0,14.0,13.0,9.5,17.0,7.0,5.0,20.0,,,,9.2546664566433,7.174267571078079,8.352731591448933,A-,A-,B-,A-,A,A-,81.66250000000001,3.43
17.0,14.0,10.0,12.0,11.0,9.5,19.0,1.0,7.0,20.0,Cukup,Kurang,,8.0,6.8856256314042446,8.590261282660334,A-,A-,B+,B+,B+,B+,79.16166666666668,3.23
18.0,15.0,15.0,12.0,13.0,13.0,20.0,3.0,10.0,20.0,Cukup,Cukup,Kurang,9.884736551941401,7.0,9.302850356294538,A,A,B,B+,A,A-,84.9975,3.55
16.0,12.0,12.0,13.0,12.0,11.0,19.0,1.0,10.0,20.0,Cukup,Cukup,Kurang,6.0,6.0,6.927553444180525,A-,A-,B+,A,B+,B+,81.66250000000001,3.41
15.0,12.0,14.0,9.0,13.0,10.5,14.0,3.0,8.0,20.0,Cukup,Cukup,Cukup,7.0,7.0,7.87767220902613,A,A-,B+,A-,A-,A-,83.32916666666667,3.58
17.0,12.0,14.0,13.0,11.0,12.0,18.0,3.0,10.0,18.0,Kurang,Baik,Cukup,10.514806647239503,7.0,9.302850356294538,B+,A-,A,A,A,A-,86.66416666666667,3.23
16.0,8.0,12.0,14.0,11.0,10.0,20.0,5.0,10.0,20.0,Baik,Baik,Baik,8.624596361345198,7.0,8.827790973871736,A-,A,A-,A-,B,B,80.82916666666667,3.27
16.0,11.0,11.0,11.0,11.0,13.5,14.0,3.0,12.0,17.0,Kurang,Baik,Cukup,7.0,6.8856256314042446,8.827790973871736,B+,A-,A,A-,B+,B+,81.66250000000001,3.32
18.0,17.0,14.0,12.0,13.5,13.0,15.0,,11.0,20.0,Cukup,Baik,,13.035087028431912,8.040193390099583,10.015439429928742,A,A,B+,A-,A,A-,86.66416666666667,3.61
14.0,13.0,14.0,13.0,11.5,11.0,14.0,3.0,12.0,19.0,Baik,Tinggi,,10.514806647239503,7.174267571078079,9.065320665083137,A-,A-,A-,B,A-,A-,80.82833333333333,3.17
8.0,14.0,16.0,14.0,12.5,12.5,15.0,1.0,14.0,14.0,Baik,Baik,Baik,9.0,7.4629095107519134,11.915676959619955,B,B,B,B,B,B,72.495,2.75
9.0,8.0,12.0,11.0,9.0,11.0,15.0,5.0,16.0,11.0,Baik,Cukup,Baik,7.994526266047096,7.0,9.77790973871734,B+,B+,B,B+,A,A-,79.99583333333334,3.0
16.0,9.0,14.0,12.0,10.5,9.5,20.0,3.0,9.0,17.0,Kurang,Baik,,10.829841694888554,7.751551450425748,9.065320665083137,A,A,A,B,A,A,89.16583333333334,3.61
17.0,15.0,12.0,12.0,9.0,10.5,18.0,1.0,5.0,18.0,Rendah,Baik,Kurang,10.829841694888554,7.751551450425748,11.203087885985749,B+,B,B,A,A,B+,80.83,2.85
9.0,,7.0,9.0,8.5,8.5,8.0,5.0,16.0,20.0,Kurang,Baik,,7.0,7.0,9.77790973871734,A-,B+,B-,B,A-,A-,77.495,2.83
18.0,18.0,14.0,14.0,13.5,13.0,16.0,3.0,12.0,20.0,Baik,Cukup,Cukup,6.7343860754508915,7.0,9.54038004750594,A,B+,A-,A,A-,A-,84.99666666666667,3.7
16.0,13.0,17.0,16.0,13.5,11.0,12.0,5.0,12.0,18.0,Cukup,Cukup,Cukup,7.0,7.0,8.827790973871736,B+,A-,B+,A-,A-,B+,79.995,3.3
16.0,14.0,12.0,14.0,12.5,11.5,18.0,3.0,12.0,18.0,,,,11.774946837835707,6.8856256314042446,9.302850356294538,A,A-,A,A-,A,A-,87.4975,3.53
16.0,9.0,12.0,12.0,11.5,8.0,18.0,1.0,10.0,20.0,Cukup,Kurang,Baik,6.0,6.8856256314042446,7.4026128266033275,A,A,A,B+,A-,A-,86.66416666666667,3.79
18.0,18.0,15.0,10.0,13.0,13.5,16.0,1.0,11.0,9.0,,,,9.2546664566433,7.4629095107519134,9.302850356294538,B+,B+,A,B,A,A,84.16416666666667,3.37
17.0,14.0,14.0,12.0,12.5,9.0,16.0,3.0,9.0,17.0,Cukup,Cukup,Kurang,10.829841694888554,6.8856256314042446,9.065320665083137,A-,A-,B+,B+,A,A-,82.49583333333334,3.52
